iter	RMSE
0	0.02123423563
1	0.02092470288
2	0.02072056614
3	0.0205115266
4	0.02030481641
5	0.02008692844
6	0.01994392729
7	0.01978300223
8	0.01958381606
9	0.01938161636
10	0.01920028636
11	0.01902619094
12	0.01882470585
13	0.01871625005
14	0.01857143552
15	0.01841615864
16	0.01819386558
17	0.01804103306
18	0.0179253639
19	0.01784012792
20	0.01765968147
21	0.01750553321
22	0.01736501463
23	0.01727539618
24	0.0171397111
25	0.01699748886
26	0.01688925358
27	0.01681482915
28	0.01666214938
29	0.01659351103
30	0.01647135206
31	0.01636215929
32	0.01625093189
33	0.01604278737
34	0.01591341624
35	0.01569367991
36	0.0156232783
37	0.01546404369
38	0.01532386529
39	0.01525663683
40	0.01512642419
41	0.01495600608
42	0.01489198952
43	0.01476443083
44	0.01469595703
45	0.01452452847
46	0.01441221317
47	0.01433346239
48	0.01422779947
49	0.01411727853
50	0.01395785086
51	0.01385916044
52	0.01379280317
53	0.01373654142
54	0.01365966369
55	0.01356970843
56	0.01350830389
57	0.01343107206
58	0.01333356303
59	0.01325511048
60	0.01320635689
61	0.01317079483
62	0.01311918411
63	0.01305845204
64	0.01302643291
65	0.01296090871
66	0.01292873166
67	0.01289812654
68	0.01280262557
69	0.01273671392
70	0.01265181466
71	0.01260999217
72	0.01254243148
73	0.01236596919
74	0.01222839607
75	0.01217827628
76	0.01211855628
77	0.01197019692
78	0.01182957272
79	0.01170681918
80	0.01165575002
81	0.01161150796
82	0.01158038219
83	0.01143848796
84	0.01132853748
85	0.01126042321
86	0.01110005839
87	0.01105658973
88	0.01101262139
89	0.01090750513
90	0.01085540845
91	0.01074361884
92	0.01059873728
93	0.01047014605
94	0.01038099886
95	0.01027646047
96	0.01017377669
97	0.01007959788
98	0.00997940628
99	0.009827191374
